Sugar Mill Source,Ethanol Plant Destination,Bagasse Allocated (MT),Transport Distance (km),Ton-Kilometers
Kallappanna Awade Jawahar Shetkari Sahakari Sakhar Karkhana Ltd.,Vasantdada SSK Ltd.,2489.6,33.13,82490.97
Twenty One Sugars Ltd.,Vikas SSK Ltd.,20748.0,7.26,150717.45
Vikasratna Vilasrao Deshmukh Manjara Shetkari Sahakari Sakhar Karkhana Ltd.,Vikas SSK Ltd.,6654.8,9.12,60668.13
Rena Sahakari Sakhar Karkhana Ltd.,Vikas SSK Ltd.,6916.0,12.88,89065.76
Pannageshwar Sugar Mills Ltd.,Vikas SSK Ltd.,3458.0,22.51,77833.91
The Saswad Mali Sugar Factory Ltd.,Vithalrao Shinde SSK Ltd.,9682.4,10.46,101308.57
Vitthalrao Shinde Sahakari Sakhar Karkhana Ltd.,Vithalrao Shinde SSK Ltd.,27387.36,17.29,473598.04
Karmayogi Sudhakar Pant Paricharak Pandurang Sahakari Sakhar Karkhana Ltd.,Vithalrao Shinde SSK Ltd.,12448.8,20.78,258657.58
Sahakar Maharshi Shankarrao Mohite-Patil Sahakari Sakhar Karkhana Ltd.,Vithalrao Shinde SSK Ltd.,19918.08,21.08,419967.22
Onkar Sugar Corporation Pvt. Ltd. (Unit-6),Vithalrao Shinde SSK Ltd.,5847.07,42.58,248988.34
Shree Sant Kurmdas Sahakari Sakhar Karkhana Ltd.,Vithalrao Shinde SSK Ltd.,3458.0,44.21,152877.51
"Vitthalrao Shinde SSK Ltd., Unit No.-2",Vitthal Corporation Ltd.,6916.0,17.29,119595.47
Shri Adinath Sahakari Sakhar Karkhana Ltd.,Vitthal Corporation Ltd.,6916.0,21.91,151542.49
Shri Makai Sahakari Sakhar Karkhana Ltd.,Vitthal Corporation Ltd.,3458.0,23.41,80958.2
Yashwantrao Mohite Krishna S.S.K. Ltd. – Krishna,Yashwantrao Mohite Krishna SSK Ltd.,13401.6,15.1,202413.06
Siddhanath Sugar Mills Ltd.,Yashwantrao Mohite Krishna SSK Ltd.,16598.4,25.18,417990.43
Niphad Sahakari Sakhar Karkhana Ltd.,Yogeshwari Petrochemicals,9682.4,28.66,277517.21
The Kadwa Sahakari Sakhar Karkhana Ltd.,Yogeshwari Petrochemicals,4564.56,29.59,135043.29
S.M. Shankarao Kolhe S.S.K. Ltd. / K.K. Wagh SSK,Yogeshwari Petrochemicals,3458.0,39.29,135876.76
D.V.P. Dharashiv Sakhar Karkhana – Unit 2 (Vasantdada Patil SSK Ltd.),Yogeshwari Petrochemicals,6916.0,70.37,486665.18
Dwarkadhish Sakhar Karkhana Ltd.,Yogeshwari Petrochemicals,11065.6,96.22,1064710.97
